Stage,Stage Type,Date,Lead Times (Weeks),Completion Date,Category,Type,Item,Unit,Count, ~ Cost , Total Cost , Cost Over Time , Utilization , Size ,length,width,height,volume,weight,Reference
1,Prep,4/1/2025,3,4/22/2025,R&D,Food & Water,First Strike Ration (FSR)​,Case,1, $100 , $100 , $100 , General , small ,18.00,12.75,14.00,3213.00,13.50,https://www.gao.gov/assets/gao-15-474.pdf
1,Prep,4/1/2025,3,4/22/2025,R&D,Food & Water,Water Pouch​,Case,1, $25 , $25 , $125 , General , small ,13.40,10.00,7.00,938.00,25.00,https://www.emergencykits.com/emergency-water/emergency-drinking-water/mainstay-emergency-drinking-water-case-of-60-pouches/?gad_source=1&gclid=Cj0KCQiAoeGuBhCBARIsAGfKY7zRxf3sRGP4KCC7h5EtO_34vEWdbrdG9_GKUe4m7GwPUoIUKmj6LY8aAjXKEALw_wcB
1,Prep,4/1/2025,3,4/22/2025,R&D,Food & Water,Water Purifier​,System,1, $650 , $650 , $775 , General , small ,7.88,7.88,8.19,508.55,9.00,https://lifestraw.com/products/lifestraw-max?variant=40758574973039&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOors-XfsYq8fGla1v6NC27sVTe54p4mSpnI3YQi3OL3tLOntGbo4DW0
1,Prep,4/1/2025,3,4/22/2025,R&D,Medical,Human Remains Pouch​,Kit,1, $55 , $55 , $830 , General , small ,8.66,3.93,1,34.03,8.50,https://www.medicalproducts.com/product/six-handled-hd-dod-spec-human-remains-pouch/
1,Testing,4/22/2025,2,5/6/2025,R&D,Facility,University of Central Florida Thermal Vacuum Chamber,Use,1,,, $830 ,,,,,,,,Unknown
1,Testing,4/22/2025,2,5/6/2025,R&D,Wages,"Hourly Rate for Researchers (Assume 3 Researchers, 6 Hours)",Individual,18, $55 , $990 ," $1,820 ",,,,,,,,https://www.indeed.com/q-vacuum-chamber-design-engineer-jobs.html?vjk=779b8a7d3b8f27da
1,Testing,4/22/2025,2,5/6/2025,R&D,Testing,Utilities,Use,1, $- , $- ," $1,820 ",,,,,,,,https://intlvac.ca/en-ca/Our-Company/NewsandBlog/ArticleID/78/How-to-Determine-the-Annual-Running-Cost-of-a-Vacuum-Pump
1,Testing,4/22/2025,2,5/6/2025,R&D,Testing,Safety/Training,Use,7, $346 ," $2,422 "," $4,242 ",,,,,,,,https://mttc.jpl.nasa.gov/pdf/MTTC_Tuition_Rates.pdf
1,Testing,4/22/2025,2,5/6/2025,R&D,Testing,Consumables Used via Testing,Kit,2, $30 , $60 ," $4,302 ",,,,,,,,https://www.hisco.com/Product/824-WX50-33018
2,Prep,5/6/2025,3,5/27/2025,R&D,Medical,First Aid Kit​,Kit,1, $420 , $420 ," $4,722 ", General , small ,11.5,3.25,13,485.88,7.50,http://www.mfasco.com/first-aid-kits/industrial-kits/deluxe-5-shelf-first-aid-kit-complete.html
2,Prep,5/6/2025,3,5/27/2025,R&D,Medical,Trauma Kit​,Kit,1, $100 , $100 ," $4,822 ", Casualties , small ,11.5,3.25,13,485.88,7.50,https://www.aed.us/aedus-bleeding-control-kit-premium
2,Prep,5/6/2025,3,5/27/2025,R&D,Medical,Mass Casualties Kit​,Kit,1, $225 , $225 ," $5,047 ", Casualties , medium ,12.25,18.5,14,3172.75,20.00,https://www.mountainmanmedical.com/product/the-mass-casualty-trauma-kit/
2,Prep,5/6/2025,3,5/27/2025,R&D,Medical,Arctic Survival Kit​,Kit,1, $87 , $87 ," $5,134 ", Cold , small ,20,12,12,2880.00,10.00,https://www.hopkinsmedicalproducts.com/product/Red-Cross-Winter-Survival-Pack-HM43306
2,Prep,5/6/2025,3,5/27/2025,R&D,Medical,Surgical Kit​,Kit,1, $37 , $37 ," $5,171 ", General , small ,9,5,1,45.00,3.00,https://www.mredepot.com/Rothco-Surgical-Medical-Kit-p/r8316.htm
2,Testing,5/27/2025,2,6/10/2025,R&D,Wages,"Hourly Rate for Researchers (Assume 3 Researchers, 6 Hours)",Individual,18, $55 , $990 ," $6,161 ",,,,,,,,https://www.indeed.com/q-vacuum-chamber-design-engineer-jobs.html?vjk=779b8a7d3b8f27da
2,Testing,5/27/2025,2,6/10/2025,R&D,Testing,Utilities,Use,1, $- , $- ," $6,161 ",,,,,,,,https://intlvac.ca/en-ca/Our-Company/NewsandBlog/ArticleID/78/How-to-Determine-the-Annual-Running-Cost-of-a-Vacuum-Pump
2,Testing,5/27/2025,2,6/10/2025,R&D,Testing,Safety/Training,Use,7, $346 ," $2,422 "," $8,583 ",,,,,,,,https://mttc.jpl.nasa.gov/pdf/MTTC_Tuition_Rates.pdf
2,Testing,5/27/2025,2,6/10/2025,R&D,Testing,Consumables Used via Testing,Kit,2, $30 , $60 ," $8,643 ",,,,,,,,https://www.hisco.com/Product/824-WX50-33018
2,Testing,5/27/2025,2,6/10/2025,R&D,Facility,University of Central Florida Thermal Vacuum Chamber,Use,1,,," $8,643 ",,,,,,,,Unknown
3,Prep,6/10/2025,3,7/1/2025,Product,Systems,Temperature Sensors,Component,1, $10 , $10 ," $8,653 ",,,,,,,,https://www.adafruit.com/product/1603
